Gold (grams),Monthly Income (PKR),Monthly Expenses (PKR),Marital Status,Employment Type,Region,Income (USD),Assets (USD),Liabilities (USD),Dependents,Net Worth (USD),Zakat Eligibility
115,242827,14511,Divorced,Salaried,Urban,4778,337576,37930,3,299646,0
124,251506,138501,Single,Business,Rural,5752,499822,19857,1,479965,0
154,109603,272333,Divorced,Business,Rural,2205,63704,29980,8,33724,0
46,109230,19821,Divorced,Unemployed,Urban,5850,328562,14018,5,314544,0
46,482888,315176,Single,Unemployed,Rural,7565,216309,225995,3,-9686,1
158,189492,259582,Married,Business,Rural,8589,416526,46722,1,369804,0
14,272079,312706,Divorced,Freelancer,Rural,9151,467093,291364,7,175729,0
181,191684,299144,Widowed,Freelancer,Urban,1035,98179,195707,3,-97528,1
196,33987,386564,Divorced,Salaried,Rural,7678,55240,175910,7,-120670,1
41,474391,7466,Married,Salaried,Urban,8993,471637,151423,8,320214,0
118,479674,72712,Single,Freelancer,Rural,2928,185399,55335,9,130064,0
61,181239,390319,Divorced,Freelancer,Rural,3341,17169,211274,8,-194105,1
24,443828,259451,Single,Salaried,Urban,3749,180204,156496,6,23708,0
11,6822,86284,Divorced,Salaried,Rural,5942,34922,122386,8,-87464,1
8,284174,349080,Widowed,Freelancer,Rural,8852,250748,215781,0,34967,0
124,66430,46772,Single,Business,Rural,8242,151063,176571,2,-25508,1
89,121018,211334,Widowed,Business,Urban,5566,9442,198715,0,-189273,1
36,211212,173633,Divorced,Business,Urban,1775,386242,39873,4,346369,0
136,174153,261464,Single,Salaried,Rural,1369,63249,167727,5,-104478,1
196,177840,44870,Single,Salaried,Urban,2187,460120,74231,0,385889,0
182,209271,53298,Divorced,Freelancer,Rural,5677,9811,52322,5,-42511,1
45,182780,176418,Divorced,Freelancer,Urban,5087,11302,243632,2,-232330,1
198,301515,181682,Widowed,Unemployed,Urban,607,344152,122452,1,221700,0
168,433809,286135,Divorced,Business,Rural,9947,149692,167343,5,-17651,1
94,158186,197082,Divorced,Business,Urban,4195,324592,173086,3,151506,0
100,343752,83693,Married,Salaried,Rural,4327,186188,278066,7,-91878,1
6,448366,20300,Divorced,Salaried,Urban,2368,40269,186576,1,-146307,1
132,217226,310055,Single,Salaried,Rural,5615,477021,11451,5,465570,0
179,350514,37477,Divorced,Salaried,Rural,1401,434731,249035,1,185696,0
124,57140,385698,Widowed,Business,Rural,5589,311527,214075,1,97452,0
164,6104,10977,Divorced,Freelancer,Rural,1707,201499,89311,0,112188,0
59,150913,274852,Married,Salaried,Urban,5440,428317,6222,7,422095,0
35,252081,340094,Married,Unemployed,Rural,4266,207922,278858,3,-70936,1
0,192975,197736,Married,Salaried,Urban,4725,185329,112834,4,72495,0
128,338853,345223,Single,Unemployed,Urban,6845,382317,10469,7,371848,0
187,267983,186876,Married,Freelancer,Urban,2207,92113,21982,9,70131,0
40,255076,117821,Widowed,Unemployed,Urban,544,255411,177393,0,78018,0
192,107770,226105,Married,Freelancer,Rural,839,497435,22934,2,474501,0
135,305281,258864,Widowed,Salaried,Urban,642,386934,180315,9,206619,0
40,244346,153018,Divorced,Salaried,Rural,5332,106980,134006,5,-27026,1
174,52057,208108,Single,Unemployed,Urban,6983,250952,196061,2,54891,0
122,365471,187841,Divorced,Freelancer,Rural,4658,7108,290374,8,-283266,1
106,453840,85336,Widowed,Salaried,Urban,5529,470754,124386,9,346368,0
89,295131,199093,Single,Unemployed,Rural,1291,412469,130425,9,282044,0
163,29435,241931,Widowed,Unemployed,Rural,5142,65712,96245,2,-30533,1
92,323891,373676,Single,Freelancer,Urban,8015,19439,162221,1,-142782,1
103,70420,234701,Married,Salaried,Urban,301,416774,276263,5,140511,0
108,118444,235252,Divorced,Freelancer,Urban,9771,79471,50249,3,29222,0
3,319642,87447,Married,Unemployed,Rural,3772,283629,53300,1,230329,0
169,406668,356501,Single,Unemployed,Urban,6725,299947,145597,3,154350,0
1,33579,234234,Widowed,Unemployed,Rural,9850,262971,115330,8,147641,0
46,466527,327867,Single,Freelancer,Rural,7315,123136,264705,4,-141569,1
147,148860,73834,Single,Freelancer,Rural,5623,475698,226485,6,249213,0
29,142142,364254,Married,Business,Rural,5306,358380,294450,9,63930,0
81,177595,303472,Single,Salaried,Rural,9146,333794,125485,9,208309,0
29,347945,138368,Divorced,Salaried,Rural,8920,242469,41694,1,200775,0
109,194806,283605,Divorced,Business,Rural,1415,418369,90130,9,328239,0
98,325647,323756,Married,Unemployed,Rural,5520,299376,179861,6,119515,0
0,401525,98068,Married,Business,Urban,9657,158659,299668,2,-141009,1
57,305035,343981,Divorced,Freelancer,Urban,2490,154697,68083,0,86614,0
66,252531,170078,Married,Unemployed,Rural,5261,435298,168574,7,266724,0
22,244608,286234,Divorced,Salaried,Rural,940,481466,5711,3,475755,0
172,175341,277456,Divorced,Salaried,Rural,4616,63083,57782,8,5301,0
149,48719,284848,Married,Salaried,Rural,1288,482529,149792,9,332737,0
